Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,Cardano,ADA,"Jul 05, 2022",$0.47 ,$0.47 ,$0.45 ,$0.46 ,"$766,706,338 ","$15,529,315,133 "
2,Cardano,ADA,"Jul 04, 2022",$0.46 ,$0.47 ,$0.45 ,$0.47 ,"$808,524,892 ","$15,851,699,428 "
3,Cardano,ADA,"Jul 03, 2022",$0.46 ,$0.46 ,$0.44 ,$0.46 ,"$439,469,536 ","$15,377,222,960 "
4,Cardano,ADA,"Jul 02, 2022",$0.45 ,$0.46 ,$0.44 ,$0.46 ,"$494,852,064 ","$15,396,854,406 "
5,Cardano,ADA,"Jul 01, 2022",$0.46 ,$0.47 ,$0.44 ,$0.45 ,"$796,619,668 ","$15,124,139,829 "
6,Cardano,ADA,"Jun 30, 2022",$0.47 ,$0.47 ,$0.44 ,$0.46 ,"$903,962,268 ","$15,481,130,857 "
7,Cardano,ADA,"Jun 29, 2022",$0.47 ,$0.48 ,$0.46 ,$0.47 ,"$769,352,065 ","$15,712,129,431 "
8,Cardano,ADA,"Jun 28, 2022",$0.49 ,$0.50 ,$0.47 ,$0.47 ,"$724,759,074 ","$15,937,844,504 "
9,Cardano,ADA,"Jun 27, 2022",$0.49 ,$0.51 ,$0.48 ,$0.49 ,"$709,992,597 ","$16,390,096,573 "
10,Cardano,ADA,"Jun 26, 2022",$0.50 ,$0.52 ,$0.49 ,$0.49 ,"$842,528,877 ","$16,527,043,913 "
11,Cardano,ADA,"Jun 25, 2022",$0.50 ,$0.51 ,$0.48 ,$0.50 ,"$649,820,170 ","$16,833,937,441 "
12,Cardano,ADA,"Jun 24, 2022",$0.48 ,$0.51 ,$0.48 ,$0.50 ,"$945,924,412 ","$16,940,683,943 "
13,Cardano,ADA,"Jun 23, 2022",$0.46 ,$0.48 ,$0.46 ,$0.48 ,"$711,554,788 ","$16,298,242,542 "
14,Cardano,ADA,"Jun 22, 2022",$0.48 ,$0.48 ,$0.46 ,$0.46 ,"$818,977,392 ","$15,561,076,680 "
15,Cardano,ADA,"Jun 21, 2022",$0.49 ,$0.51 ,$0.48 ,$0.48 ,"$1,018,828,248 ","$16,174,353,905 "
16,Cardano,ADA,"Jun 20, 2022",$0.48 ,$0.51 ,$0.46 ,$0.49 ,"$1,096,263,588 ","$16,608,404,988 "
17,Cardano,ADA,"Jun 19, 2022",$0.46 ,$0.49 ,$0.44 ,$0.48 ,"$1,050,008,285 ","$16,341,966,396 "
18,Cardano,ADA,"Jun 18, 2022",$0.49 ,$0.49 ,$0.42 ,$0.46 ,"$1,214,101,657 ","$15,391,124,998 "
19,Cardano,ADA,"Jun 17, 2022",$0.48 ,$0.50 ,$0.47 ,$0.49 ,"$872,710,309 ","$16,450,717,357 "
20,Cardano,ADA,"Jun 16, 2022",$0.53 ,$0.54 ,$0.47 ,$0.48 ,"$1,226,235,066 ","$16,026,795,414 "
21,Cardano,ADA,"Jun 15, 2022",$0.48 ,$0.54 ,$0.45 ,$0.53 ,"$2,335,125,416 ","$17,992,876,269 "
