Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,BNB,BNB,"Jul 05, 2022",$231.48 ,$235.76 ,$223.23 ,$230.85 ,"$1,310,031,377 ","$37,691,894,305 "
2,BNB,BNB,"Jul 04, 2022",$218.98 ,$231.77 ,$215.21 ,$231.57 ,"$1,039,372,640 ","$37,810,723,921 "
3,BNB,BNB,"Jul 03, 2022",$218.05 ,$219.79 ,$214.46 ,$218.98 ,"$724,525,676 ","$35,754,443,111 "
4,BNB,BNB,"Jul 02, 2022",$216.23 ,$219.42 ,$214.21 ,$218.04 ,"$767,361,243 ","$35,600,131,897 "
5,BNB,BNB,"Jul 01, 2022",$219.53 ,$226.38 ,$213.67 ,$216.02 ,"$1,234,215,934 ","$35,270,351,269 "
6,BNB,BNB,"Jun 30, 2022",$219.39 ,$219.89 ,$205.93 ,$219.30 ,"$1,088,852,065 ","$35,806,656,572 "
7,BNB,BNB,"Jun 29, 2022",$226.90 ,$229.43 ,$215.95 ,$219.28 ,"$1,062,609,997 ","$35,804,105,858 "
8,BNB,BNB,"Jun 28, 2022",$233.57 ,$241.42 ,$226.15 ,$226.93 ,"$1,082,126,615 ","$37,052,010,145 "
9,BNB,BNB,"Jun 27, 2022",$233.83 ,$240.62 ,$230.51 ,$233.65 ,"$841,135,242 ","$38,150,322,788 "
10,BNB,BNB,"Jun 26, 2022",$239.61 ,$244.67 ,$233.63 ,$233.86 ,"$823,875,890 ","$38,183,748,928 "
11,BNB,BNB,"Jun 25, 2022",$240.26 ,$241.50 ,$230.45 ,$239.69 ,"$915,553,554 ","$39,135,965,106 "
12,BNB,BNB,"Jun 24, 2022",$228.92 ,$242.82 ,$228.63 ,$240.24 ,"$1,127,877,901 ","$39,225,384,797 "
13,BNB,BNB,"Jun 23, 2022",$214.23 ,$229.77 ,$214.23 ,$228.95 ,"$1,148,541,185 ","$37,382,875,642 "
14,BNB,BNB,"Jun 22, 2022",$219.67 ,$220.53 ,$211.59 ,$214.26 ,"$1,050,984,086 ","$34,984,037,889 "
15,BNB,BNB,"Jun 21, 2022",$216.90 ,$227.64 ,$213.55 ,$219.50 ,"$1,165,714,518 ","$35,839,071,092 "
16,BNB,BNB,"Jun 20, 2022",$214.88 ,$218.08 ,$205.17 ,$216.93 ,"$1,235,838,900 ","$35,420,370,613 "
17,BNB,BNB,"Jun 19, 2022",$196.96 ,$216.08 ,$190.12 ,$214.92 ,"$1,333,254,615 ","$35,091,574,388 "
18,BNB,BNB,"Jun 18, 2022",$215.82 ,$218.55 ,$184.54 ,$197.04 ,"$1,579,731,402 ","$32,172,584,769 "
19,BNB,BNB,"Jun 17, 2022",$209.71 ,$221.64 ,$208.10 ,$215.89 ,"$1,108,538,874 ","$35,250,160,630 "
20,BNB,BNB,"Jun 16, 2022",$233.47 ,$236.33 ,$208.07 ,$209.54 ,"$1,483,212,957 ","$34,212,852,053 "
21,BNB,BNB,"Jun 15, 2022",$223.19 ,$234.02 ,$199.29 ,$233.40 ,"$2,244,407,305 ","$38,108,309,619 "
22,BNB,BNB,"Jun 14, 2022",$222.55 ,$230.37 ,$205.39 ,$223.22 ,"$2,027,226,914 ","$36,446,891,127 "
23,BNB,BNB,"Jun 13, 2022",$255.67 ,$256.85 ,$214.61 ,$222.51 ,"$2,471,570,710 ","$36,330,072,071 "
24,BNB,BNB,"Jun 12, 2022",$269.66 ,$271.38 ,$251.99 ,$255.95 ,"$1,380,200,465 ","$41,790,885,363 "
25,BNB,BNB,"Jun 11, 2022",$286.11 ,$290.37 ,$265.63 ,$269.49 ,"$1,220,361,307 ","$44,001,019,654 "
26,BNB,BNB,"Jun 10, 2022",$289.89 ,$297.23 ,$283.48 ,$286.05 ,"$1,362,797,648 ","$46,704,839,626 "
27,BNB,BNB,"Jun 09, 2022",$288.62 ,$292.98 ,$286.48 ,$289.92 ,"$800,984,464 ","$47,337,201,877 "
28,BNB,BNB,"Jun 08, 2022",$290.30 ,$294.04 ,$284.37 ,$288.62 ,"$1,136,631,692 ","$47,124,362,846 "
29,BNB,BNB,"Jun 07, 2022",$295.37 ,$295.37 ,$274.43 ,$290.34 ,"$1,752,763,456 ","$47,406,019,787 "
30,BNB,BNB,"Jun 06, 2022",$298.98 ,$311.70 ,$289.43 ,$295.40 ,"$1,470,941,103 ","$48,231,368,639 "
31,BNB,BNB,"Jun 05, 2022",$301.60 ,$301.94 ,$295.43 ,$298.93 ,"$779,603,321 ","$48,809,157,476 "
32,BNB,BNB,"Jun 04, 2022",$298.50 ,$302.64 ,$295.28 ,$301.63 ,"$805,954,970 ","$49,249,419,808 "
33,BNB,BNB,"Jun 03, 2022",$308.19 ,$309.86 ,$293.86 ,$298.40 ,"$1,115,211,127 ","$48,721,504,699 "
34,BNB,BNB,"Jun 02, 2022",$300.47 ,$309.04 ,$298.67 ,$308.10 ,"$1,228,180,850 ","$50,305,926,892 "
35,BNB,BNB,"Jun 01, 2022",$320.47 ,$323.89 ,$297.97 ,$300.50 ,"$1,763,624,947 ","$49,065,391,381 "
36,BNB,BNB,"May 31, 2022",$321.72 ,$323.70 ,$314.28 ,$320.49 ,"$1,711,532,960 ","$52,327,838,988 "
37,BNB,BNB,"May 30, 2022",$305.94 ,$323.26 ,$304.34 ,$321.75 ,"$2,064,357,375 ","$52,534,837,419 "
38,BNB,BNB,"May 29, 2022",$307.75 ,$307.94 ,$299.31 ,$305.98 ,"$1,208,835,000 ","$49,958,681,902 "
39,BNB,BNB,"May 28, 2022",$302.44 ,$309.21 ,$297.72 ,$307.82 ,"$1,471,633,413 ","$50,259,172,863 "
40,BNB,BNB,"May 27, 2022",$304.79 ,$308.86 ,$292.14 ,$300.97 ,"$2,593,113,824 ","$49,141,803,580 "
41,BNB,BNB,"May 26, 2022",$325.76 ,$330.89 ,$298.79 ,$304.96 ,"$2,686,414,043 ","$49,793,586,182 "
42,BNB,BNB,"May 25, 2022",$328.20 ,$336.67 ,$324.55 ,$325.73 ,"$2,008,481,372 ","$53,184,993,616 "
43,BNB,BNB,"May 24, 2022",$316.85 ,$329.82 ,$313.55 ,$328.19 ,"$2,002,782,969 ","$53,585,763,496 "
44,BNB,BNB,"May 23, 2022",$319.52 ,$336.31 ,$316.35 ,$316.76 ,"$2,228,144,099 ","$51,719,705,364 "
45,BNB,BNB,"May 22, 2022",$312.49 ,$322.86 ,$311.83 ,$319.61 ,"$1,604,297,406 ","$52,184,792,531 "
46,BNB,BNB,"May 21, 2022",$302.37 ,$313.66 ,$300.13 ,$312.47 ,"$1,318,736,979 ","$51,018,508,605 "
47,BNB,BNB,"May 20, 2022",$306.78 ,$315.27 ,$294.76 ,$302.36 ,"$1,756,670,714 ","$49,368,297,712 "
48,BNB,BNB,"May 19, 2022",$287.45 ,$307.96 ,$287.21 ,$306.79 ,"$1,646,882,950 ","$50,091,997,950 "
49,BNB,BNB,"May 18, 2022",$305.99 ,$307.71 ,$287.44 ,$287.44 ,"$1,520,090,732 ","$46,932,136,434 "
50,BNB,BNB,"May 17, 2022",$297.70 ,$310.19 ,$296.96 ,$305.96 ,"$1,584,497,815 ","$49,956,785,094 "
51,BNB,BNB,"May 16, 2022",$312.08 ,$312.14 ,$290.46 ,$297.71 ,"$1,754,184,298 ","$48,609,208,955 "
52,BNB,BNB,"May 15, 2022",$297.40 ,$312.18 ,$286.64 ,$312.01 ,"$1,611,088,257 ","$50,943,678,221 "
53,BNB,BNB,"May 14, 2022",$290.62 ,$298.80 ,$272.65 ,$297.39 ,"$1,884,570,404 ","$48,556,546,861 "
54,BNB,BNB,"May 13, 2022",$269.14 ,$312.69 ,$265.71 ,$290.58 ,"$2,774,121,165 ","$47,445,706,445 "
55,BNB,BNB,"May 12, 2022",$269.89 ,$283.48 ,$216.36 ,$269.41 ,"$4,739,990,237 ","$43,988,002,573 "
