Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,Binance USD,BUSD,"Jul 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,028,050,090 ","$17,553,113,775 "
2,Binance USD,BUSD,"Jul 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,532,801,976 ","$17,550,589,277 "
3,Binance USD,BUSD,"Jul 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,731,656,763 ","$17,534,713,958 "
4,Binance USD,BUSD,"Jul 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,881,252,912 ","$17,552,806,882 "
5,Binance USD,BUSD,"Jul 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,260,378,585 ","$17,578,477,084 "
6,Binance USD,BUSD,"Jun 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,202,546,205 ","$17,572,044,272 "
7,Binance USD,BUSD,"Jun 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,188,661,840 ","$17,554,619,220 "
8,Binance USD,BUSD,"Jun 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,847,156,949 ","$17,380,320,127 "
9,Binance USD,BUSD,"Jun 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,737,933,957 ","$17,397,764,228 "
10,Binance USD,BUSD,"Jun 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,392,421,095 ","$17,374,825,904 "
11,Binance USD,BUSD,"Jun 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,310,831,487 ","$17,365,183,938 "
12,Binance USD,BUSD,"Jun 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,690,445,711 ","$17,392,130,844 "
13,Binance USD,BUSD,"Jun 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,346,458,681 ","$17,383,279,282 "
14,Binance USD,BUSD,"Jun 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,345,858,266 ","$17,533,352,976 "
15,Binance USD,BUSD,"Jun 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,013,113,114 ","$17,503,096,833 "
16,Binance USD,BUSD,"Jun 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,135,462,320 ","$17,174,411,095 "
17,Binance USD,BUSD,"Jun 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,147,188,373 ","$17,182,271,246 "
18,Binance USD,BUSD,"Jun 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,605,490,616 ","$17,591,425,193 "
19,Binance USD,BUSD,"Jun 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,008,980,631 ","$17,596,446,207 "
20,Binance USD,BUSD,"Jun 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,406,986,455 ","$17,560,964,476 "
21,Binance USD,BUSD,"Jun 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$8,552,268,807 ","$17,633,612,850 "
22,Binance USD,BUSD,"Jun 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$7,615,185,011 ","$17,450,328,266 "
23,Binance USD,BUSD,"Jun 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$11,519,495,508 ","$17,607,619,096 "
24,Binance USD,BUSD,"Jun 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,731,962,347 ","$17,758,622,019 "
25,Binance USD,BUSD,"Jun 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,425,812,631 ","$17,919,060,582 "
26,Binance USD,BUSD,"Jun 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,695,773,420 ","$17,999,560,658 "
27,Binance USD,BUSD,"Jun 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,601,384,135 ","$17,930,549,458 "
28,Binance USD,BUSD,"Jun 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,155,728,236 ","$17,962,163,238 "
29,Binance USD,BUSD,"Jun 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,836,652,197 ","$18,006,800,310 "
30,Binance USD,BUSD,"Jun 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,632,444,530 ","$18,262,977,093 "
31,Binance USD,BUSD,"Jun 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,621,810,817 ","$18,087,458,255 "
32,Binance USD,BUSD,"Jun 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$2,498,217,083 ","$18,065,033,462 "
33,Binance USD,BUSD,"Jun 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,966,721,500 ","$18,046,541,936 "
34,Binance USD,BUSD,"Jun 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$4,667,275,756 ","$18,103,482,547 "
35,Binance USD,BUSD,"Jun 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$7,440,818,455 ","$18,150,796,578 "
36,Binance USD,BUSD,"May 31, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,529,694,566 ","$18,200,161,039 "
37,Binance USD,BUSD,"May 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,441,103,252 ","$17,998,331,176 "
38,Binance USD,BUSD,"May 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,122,801,413 ","$17,989,622,001 "
39,Binance USD,BUSD,"May 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,098,142,540 ","$18,200,307,051 "
40,Binance USD,BUSD,"May 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,183,776,987 ","$18,155,590,223 "
41,Binance USD,BUSD,"May 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,748,914,760 ","$18,238,564,812 "
42,Binance USD,BUSD,"May 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,322,160,200 ","$18,443,376,046 "
43,Binance USD,BUSD,"May 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,019,654,714 ","$18,308,199,628 "
44,Binance USD,BUSD,"May 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$7,517,762,774 ","$18,335,228,365 "
45,Binance USD,BUSD,"May 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,907,534,747 ","$18,545,424,838 "
46,Binance USD,BUSD,"May 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$3,634,961,961 ","$18,571,541,241 "
47,Binance USD,BUSD,"May 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,067,105,966 ","$18,566,601,336 "
48,Binance USD,BUSD,"May 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$7,128,537,722 ","$18,564,166,703 "
49,Binance USD,BUSD,"May 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$5,858,486,740 ","$18,447,114,169 "
50,Binance USD,BUSD,"May 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$6,186,204,948 ","$18,227,343,147 "
51,Binance USD,BUSD,"May 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$8,968,771,547 ","$17,989,647,674 "
52,Binance USD,BUSD,"May 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$8,030,119,560 ","$17,743,577,941 "
53,Binance USD,BUSD,"May 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$12,584,143,003 ","$17,741,271,767 "
54,Binance USD,BUSD,"May 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$9,868,896,598 ","$17,633,474,942 "
55,Binance USD,BUSD,"May 12, 2022",$1.00 ,$1.02 ,$1.00 ,$1.00 ,"$19,141,081,792 ","$17,092,755,230 "
56,Binance USD,BUSD,"May 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$15,589,615,018 ","$16,980,879,300 "
57,Binance USD,BUSD,"May 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$8,730,362,344 ","$17,093,648,236 "
58,Binance USD,BUSD,"May 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$8,100,176,556 ","$17,345,068,644 "
