Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,Dai,DAI,"Jul 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$266,938,937 ","$6,897,333,977 "
2,Dai,DAI,"Jul 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$210,429,655 ","$6,913,162,802 "
3,Dai,DAI,"Jul 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$154,409,747 ","$6,900,983,062 "
4,Dai,DAI,"Jul 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$192,011,906 ","$6,870,889,606 "
5,Dai,DAI,"Jul 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$345,750,428 ","$6,859,377,604 "
6,Dai,DAI,"Jun 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$314,172,508 ","$6,784,456,599 "
7,Dai,DAI,"Jun 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$295,193,646 ","$6,800,187,231 "
8,Dai,DAI,"Jun 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$349,731,783 ","$6,728,250,929 "
9,Dai,DAI,"Jun 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$257,159,960 ","$6,791,403,526 "
10,Dai,DAI,"Jun 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$212,797,554 ","$6,782,260,868 "
11,Dai,DAI,"Jun 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$244,258,444 ","$6,812,982,370 "
12,Dai,DAI,"Jun 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$376,057,529 ","$6,788,742,879 "
13,Dai,DAI,"Jun 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$353,813,415 ","$6,796,386,686 "
14,Dai,DAI,"Jun 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$303,126,637 ","$6,793,806,725 "
15,Dai,DAI,"Jun 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$348,678,972 ","$6,782,558,951 "
16,Dai,DAI,"Jun 20, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$383,413,556 ","$6,751,220,196 "
17,Dai,DAI,"Jun 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$530,554,452 ","$6,748,740,194 "
18,Dai,DAI,"Jun 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$707,533,310 ","$6,761,877,858 "
19,Dai,DAI,"Jun 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$395,540,828 ","$6,822,935,214 "
20,Dai,DAI,"Jun 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$432,575,571 ","$6,676,898,577 "
21,Dai,DAI,"Jun 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$802,331,869 ","$6,732,077,160 "
22,Dai,DAI,"Jun 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$795,126,976 ","$6,828,927,263 "
23,Dai,DAI,"Jun 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$1,140,857,352 ","$6,920,875,897 "
24,Dai,DAI,"Jun 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$323,237,156 ","$6,989,373,080 "
25,Dai,DAI,"Jun 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$358,366,641 ","$7,023,301,269 "
26,Dai,DAI,"Jun 10, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$284,257,004 ","$7,061,891,643 "
27,Dai,DAI,"Jun 09, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$152,817,553 ","$6,986,561,801 "
28,Dai,DAI,"Jun 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$235,966,321 ","$6,973,292,321 "
29,Dai,DAI,"Jun 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$410,824,357 ","$6,889,357,379 "
30,Dai,DAI,"Jun 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$205,129,363 ","$6,857,912,839 "
31,Dai,DAI,"Jun 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$212,058,328 ","$6,834,793,115 "
32,Dai,DAI,"Jun 04, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$215,464,675 ","$6,830,636,992 "
33,Dai,DAI,"Jun 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$223,756,034 ","$6,824,427,246 "
34,Dai,DAI,"Jun 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$228,326,162 ","$6,811,911,362 "
