Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,Dogecoin,DOGE,"Jul 05, 2022",$0.07 ,$0.07 ,$0.07 ,$0.07 ,"$403,220,687 ","$8,909,478,415 "
2,Dogecoin,DOGE,"Jul 04, 2022",$0.07 ,$0.07 ,$0.07 ,$0.07 ,"$379,581,122 ","$9,216,941,149 "
3,Dogecoin,DOGE,"Jul 03, 2022",$0.07 ,$0.07 ,$0.07 ,$0.07 ,"$280,878,240 ","$8,912,747,930 "
4,Dogecoin,DOGE,"Jul 02, 2022",$0.07 ,$0.07 ,$0.07 ,$0.07 ,"$352,589,827 ","$8,848,907,883 "
5,Dogecoin,DOGE,"Jul 01, 2022",$0.07 ,$0.07 ,$0.06 ,$0.07 ,"$472,441,458 ","$8,779,456,012 "
6,Dogecoin,DOGE,"Jun 30, 2022",$0.07 ,$0.07 ,$0.06 ,$0.07 ,"$566,648,029 ","$8,767,624,633 "
7,Dogecoin,DOGE,"Jun 29, 2022",$0.07 ,$0.07 ,$0.06 ,$0.07 ,"$592,828,738 ","$9,216,360,367 "
8,Dogecoin,DOGE,"Jun 28, 2022",$0.07 ,$0.07 ,$0.07 ,$0.07 ,"$534,793,983 ","$8,750,529,447 "
9,Dogecoin,DOGE,"Jun 27, 2022",$0.07 ,$0.08 ,$0.07 ,$0.07 ,"$962,250,061 ","$9,584,039,487 "
10,Dogecoin,DOGE,"Jun 26, 2022",$0.07 ,$0.08 ,$0.07 ,$0.07 ,"$883,689,355 ","$9,708,405,809 "
11,Dogecoin,DOGE,"Jun 25, 2022",$0.07 ,$0.07 ,$0.07 ,$0.07 ,"$432,671,864 ","$9,088,298,080 "
12,Dogecoin,DOGE,"Jun 24, 2022",$0.06 ,$0.07 ,$0.06 ,$0.07 ,"$514,729,444 ","$8,905,403,066 "
13,Dogecoin,DOGE,"Jun 23, 2022",$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$434,169,751 ","$8,495,221,692 "
14,Dogecoin,DOGE,"Jun 22, 2022",$0.07 ,$0.07 ,$0.06 ,$0.06 ,"$633,619,298 ","$8,187,305,661 "
15,Dogecoin,DOGE,"Jun 21, 2022",$0.06 ,$0.07 ,$0.06 ,$0.07 ,"$1,051,899,538 ","$8,699,404,142 "
16,Dogecoin,DOGE,"Jun 20, 2022",$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$499,018,791 ","$7,983,700,626 "
17,Dogecoin,DOGE,"Jun 19, 2022",$0.05 ,$0.06 ,$0.05 ,$0.06 ,"$1,166,163,984 ","$8,012,737,057 "
18,Dogecoin,DOGE,"Jun 18, 2022",$0.06 ,$0.06 ,$0.05 ,$0.05 ,"$652,345,943 ","$7,033,163,720 "
19,Dogecoin,DOGE,"Jun 17, 2022",$0.06 ,$0.06 ,$0.05 ,$0.06 ,"$383,830,484 ","$7,561,531,503 "
20,Dogecoin,DOGE,"Jun 16, 2022",$0.06 ,$0.06 ,$0.05 ,$0.06 ,"$724,479,688 ","$7,300,746,597 "
21,Dogecoin,DOGE,"Jun 15, 2022",$0.06 ,$0.06 ,$0.05 ,$0.06 ,"$1,122,284,662 ","$8,358,269,936 "
22,Dogecoin,DOGE,"Jun 14, 2022",$0.05 ,$0.06 ,$0.05 ,$0.06 ,"$908,921,329 ","$7,375,399,855 "
23,Dogecoin,DOGE,"Jun 13, 2022",$0.06 ,$0.07 ,$0.05 ,$0.05 ,"$1,465,281,537 ","$7,153,731,599 "
24,Dogecoin,DOGE,"Jun 12, 2022",$0.07 ,$0.07 ,$0.06 ,$0.06 ,"$708,156,957 ","$8,535,532,362 "
25,Dogecoin,DOGE,"Jun 11, 2022",$0.08 ,$0.08 ,$0.07 ,$0.07 ,"$497,184,012 ","$9,273,062,891 "
26,Dogecoin,DOGE,"Jun 10, 2022",$0.08 ,$0.08 ,$0.07 ,$0.08 ,"$431,520,761 ","$10,010,509,251 "
27,Dogecoin,DOGE,"Jun 09, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$274,673,852 ","$10,525,631,751 "
28,Dogecoin,DOGE,"Jun 08, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$328,046,389 ","$10,539,276,547 "
29,Dogecoin,DOGE,"Jun 07, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$509,642,725 ","$10,681,746,082 "
30,Dogecoin,DOGE,"Jun 06, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$503,707,292 ","$10,949,258,722 "
31,Dogecoin,DOGE,"Jun 05, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$282,624,184 ","$10,776,704,002 "
32,Dogecoin,DOGE,"Jun 04, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$350,329,772 ","$10,849,474,464 "
33,Dogecoin,DOGE,"Jun 03, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$403,339,248 ","$10,672,323,806 "
34,Dogecoin,DOGE,"Jun 02, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$434,510,607 ","$10,981,446,414 "
35,Dogecoin,DOGE,"Jun 01, 2022",$0.09 ,$0.09 ,$0.08 ,$0.08 ,"$830,748,610 ","$10,753,779,788 "
36,Dogecoin,DOGE,"May 31, 2022",$0.09 ,$0.09 ,$0.08 ,$0.09 ,"$672,444,588 ","$11,391,726,302 "
37,Dogecoin,DOGE,"May 30, 2022",$0.08 ,$0.09 ,$0.08 ,$0.09 ,"$690,696,756 ","$11,657,855,630 "
38,Dogecoin,DOGE,"May 29, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$394,962,471 ","$10,969,956,872 "
39,Dogecoin,DOGE,"May 28, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$535,539,620 ","$10,857,677,366 "
40,Dogecoin,DOGE,"May 27, 2022",$0.08 ,$0.09 ,$0.08 ,$0.08 ,"$1,310,057,650 ","$10,790,747,448 "
41,Dogecoin,DOGE,"May 26, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$711,890,873 ","$10,381,705,602 "
42,Dogecoin,DOGE,"May 25, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$419,834,752 ","$11,009,702,756 "
43,Dogecoin,DOGE,"May 24, 2022",$0.08 ,$0.08 ,$0.08 ,$0.08 ,"$462,415,724 ","$11,096,233,388 "
44,Dogecoin,DOGE,"May 23, 2022",$0.09 ,$0.09 ,$0.08 ,$0.08 ,"$507,385,171 ","$11,045,237,305 "
45,Dogecoin,DOGE,"May 22, 2022",$0.08 ,$0.09 ,$0.08 ,$0.09 ,"$375,026,021 ","$11,423,643,528 "
46,Dogecoin,DOGE,"May 21, 2022",$0.08 ,$0.09 ,$0.08 ,$0.08 ,"$335,246,011 ","$11,205,743,624 "
47,Dogecoin,DOGE,"May 20, 2022",$0.09 ,$0.09 ,$0.08 ,$0.08 ,"$518,556,378 ","$11,141,299,048 "
48,Dogecoin,DOGE,"May 19, 2022",$0.08 ,$0.09 ,$0.08 ,$0.09 ,"$613,801,947 ","$11,505,546,741 "
