Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,Polkadot,DOT,"Jul 05, 2022",$7.17 ,$7.20 ,$6.66 ,$6.85 ,"$617,560,339 ","$6,764,343,198 "
2,Polkadot,DOT,"Jul 04, 2022",$6.84 ,$7.19 ,$6.68 ,$7.17 ,"$414,648,616 ","$7,084,690,171 "
3,Polkadot,DOT,"Jul 03, 2022",$6.83 ,$6.96 ,$6.65 ,$6.84 ,"$282,225,615 ","$6,758,841,573 "
4,Polkadot,DOT,"Jul 02, 2022",$6.73 ,$6.89 ,$6.65 ,$6.83 ,"$353,342,023 ","$6,741,102,976 "
5,Polkadot,DOT,"Jul 01, 2022",$7.05 ,$7.20 ,$6.58 ,$6.73 ,"$623,803,205 ","$6,646,336,024 "
6,Polkadot,DOT,"Jun 30, 2022",$7.01 ,$7.04 ,$6.66 ,$7.04 ,"$553,377,124 ","$6,952,423,128 "
7,Polkadot,DOT,"Jun 29, 2022",$7.31 ,$7.42 ,$6.98 ,$7.01 ,"$562,068,690 ","$6,922,057,751 "
8,Polkadot,DOT,"Jun 28, 2022",$7.74 ,$7.98 ,$7.28 ,$7.31 ,"$454,633,640 ","$7,219,255,727 "
9,Polkadot,DOT,"Jun 27, 2022",$7.84 ,$8.19 ,$7.74 ,$7.74 ,"$363,436,649 ","$7,647,921,300 "
10,Polkadot,DOT,"Jun 26, 2022",$8.13 ,$8.46 ,$7.83 ,$7.84 ,"$386,725,611 ","$7,738,240,731 "
11,Polkadot,DOT,"Jun 25, 2022",$8.20 ,$8.34 ,$7.82 ,$8.13 ,"$355,679,049 ","$8,032,704,478 "
12,Polkadot,DOT,"Jun 24, 2022",$7.79 ,$8.31 ,$7.74 ,$8.21 ,"$478,986,341 ","$8,103,984,591 "
13,Polkadot,DOT,"Jun 23, 2022",$7.41 ,$7.79 ,$7.39 ,$7.79 ,"$414,053,779 ","$7,690,370,964 "
14,Polkadot,DOT,"Jun 22, 2022",$7.75 ,$7.80 ,$7.38 ,$7.41 ,"$396,873,053 ","$7,316,492,039 "
15,Polkadot,DOT,"Jun 21, 2022",$7.88 ,$8.24 ,$7.71 ,$7.74 ,"$430,086,919 ","$7,646,037,006 "
16,Polkadot,DOT,"Jun 20, 2022",$7.52 ,$8.01 ,$7.21 ,$7.89 ,"$495,307,749 ","$7,788,920,098 "
17,Polkadot,DOT,"Jun 19, 2022",$7.06 ,$7.60 ,$6.79 ,$7.52 ,"$485,916,449 ","$7,423,345,515 "
18,Polkadot,DOT,"Jun 18, 2022",$7.29 ,$7.40 ,$6.49 ,$7.06 ,"$573,388,413 ","$6,970,452,289 "
19,Polkadot,DOT,"Jun 17, 2022",$7.10 ,$7.43 ,$7.06 ,$7.29 ,"$427,132,202 ","$7,203,719,714 "
20,Polkadot,DOT,"Jun 16, 2022",$8.51 ,$8.53 ,$7.01 ,$7.10 ,"$656,027,695 ","$7,011,790,614 "
21,Polkadot,DOT,"Jun 15, 2022",$7.37 ,$8.61 ,$6.86 ,$8.51 ,"$1,047,848,436 ","$8,404,575,635 "
22,Polkadot,DOT,"Jun 14, 2022",$7.01 ,$7.52 ,$6.73 ,$7.37 ,"$825,671,035 ","$7,273,972,695 "
23,Polkadot,DOT,"Jun 13, 2022",$7.44 ,$7.45 ,$6.43 ,$7.01 ,"$1,019,556,301 ","$6,923,126,949 "
24,Polkadot,DOT,"Jun 12, 2022",$8.02 ,$8.10 ,$7.45 ,$7.45 ,"$540,721,211 ","$7,357,483,712 "
25,Polkadot,DOT,"Jun 11, 2022",$8.65 ,$8.84 ,$7.96 ,$8.02 ,"$453,457,201 ","$7,916,610,626 "
26,Polkadot,DOT,"Jun 10, 2022",$9.23 ,$9.35 ,$8.63 ,$8.65 ,"$463,759,922 ","$8,545,349,189 "
27,Polkadot,DOT,"Jun 09, 2022",$9.00 ,$9.44 ,$8.93 ,$9.23 ,"$377,664,094 ","$9,117,423,825 "
28,Polkadot,DOT,"Jun 08, 2022",$9.23 ,$9.37 ,$8.94 ,$9.00 ,"$341,420,388 ","$8,891,939,336 "
29,Polkadot,DOT,"Jun 07, 2022",$9.49 ,$9.50 ,$8.91 ,$9.23 ,"$446,295,667 ","$9,113,537,058 "
30,Polkadot,DOT,"Jun 06, 2022",$9.35 ,$9.92 ,$9.34 ,$9.49 ,"$413,763,076 ","$9,374,863,398 "
31,Polkadot,DOT,"Jun 05, 2022",$9.43 ,$9.54 ,$9.28 ,$9.34 ,"$236,104,496 ","$9,228,925,961 "
32,Polkadot,DOT,"Jun 04, 2022",$9.38 ,$9.53 ,$9.17 ,$9.43 ,"$281,076,248 ","$9,313,458,901 "
33,Polkadot,DOT,"Jun 03, 2022",$9.90 ,$9.90 ,$9.24 ,$9.38 ,"$414,732,607 ","$9,260,462,404 "
34,Polkadot,DOT,"Jun 02, 2022",$9.47 ,$10.02 ,$9.34 ,$9.90 ,"$506,177,410 ","$9,774,743,863 "
35,Polkadot,DOT,"Jun 01, 2022",$10.37 ,$10.68 ,$9.34 ,$9.47 ,"$699,424,637 ","$9,353,744,327 "
36,Polkadot,DOT,"May 31, 2022",$10.45 ,$10.62 ,$10.02 ,$10.37 ,"$666,603,022 ","$10,237,441,301 "
37,Polkadot,DOT,"May 30, 2022",$9.98 ,$10.73 ,$9.93 ,$10.45 ,"$736,851,354 ","$10,325,039,438 "
38,Polkadot,DOT,"May 29, 2022",$9.66 ,$9.99 ,$9.36 ,$9.98 ,"$575,259,942 ","$9,856,709,917 "
39,Polkadot,DOT,"May 28, 2022",$9.28 ,$9.73 ,$9.02 ,$9.67 ,"$592,729,298 ","$9,546,220,231 "
