Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,UNUS SED LEO,LEO,"Jul 05, 2022",$5.74 ,$5.87 ,$5.60 ,$5.74 ,"$3,734,561 ","$5,472,740,385 "
2,UNUS SED LEO,LEO,"Jul 04, 2022",$5.73 ,$5.91 ,$5.71 ,$5.74 ,"$5,701,422 ","$5,474,866,834 "
3,UNUS SED LEO,LEO,"Jul 03, 2022",$5.73 ,$5.95 ,$5.71 ,$5.73 ,"$5,946,713 ","$5,463,759,131 "
4,UNUS SED LEO,LEO,"Jul 02, 2022",$5.79 ,$5.97 ,$5.63 ,$5.72 ,"$6,733,820 ","$5,460,636,674 "
5,UNUS SED LEO,LEO,"Jul 01, 2022",$5.77 ,$6.32 ,$5.74 ,$5.78 ,"$7,069,606 ","$5,518,203,744 "
6,UNUS SED LEO,LEO,"Jun 30, 2022",$5.91 ,$6.02 ,$5.64 ,$5.77 ,"$7,803,590 ","$5,504,455,369 "
7,UNUS SED LEO,LEO,"Jun 29, 2022",$5.74 ,$6.05 ,$5.73 ,$5.91 ,"$6,426,650 ","$5,637,496,440 "
8,UNUS SED LEO,LEO,"Jun 28, 2022",$5.75 ,$5.86 ,$5.73 ,$5.74 ,"$6,427,294 ","$5,480,267,689 "
9,UNUS SED LEO,LEO,"Jun 27, 2022",$5.91 ,$5.98 ,$5.75 ,$5.76 ,"$6,925,010 ","$5,491,953,646 "
10,UNUS SED LEO,LEO,"Jun 26, 2022",$5.89 ,$5.97 ,$5.88 ,$5.91 ,"$6,879,032 ","$5,635,208,892 "
11,UNUS SED LEO,LEO,"Jun 25, 2022",$5.84 ,$5.93 ,$5.83 ,$5.89 ,"$7,122,493 ","$5,619,863,497 "
12,UNUS SED LEO,LEO,"Jun 24, 2022",$5.81 ,$5.87 ,$5.76 ,$5.84 ,"$7,201,209 ","$5,574,497,373 "
13,UNUS SED LEO,LEO,"Jun 23, 2022",$5.81 ,$6.03 ,$5.80 ,$5.81 ,"$7,233,363 ","$5,546,824,436 "
14,UNUS SED LEO,LEO,"Jun 22, 2022",$5.58 ,$5.93 ,$5.58 ,$5.81 ,"$6,970,447 ","$5,544,404,967 "
15,UNUS SED LEO,LEO,"Jun 21, 2022",$5.41 ,$5.60 ,$5.35 ,$5.58 ,"$7,516,129 ","$5,321,800,609 "
16,UNUS SED LEO,LEO,"Jun 20, 2022",$5.21 ,$5.44 ,$5.19 ,$5.41 ,"$6,421,107 ","$5,163,150,405 "
17,UNUS SED LEO,LEO,"Jun 19, 2022",$5.03 ,$5.22 ,$5.00 ,$5.21 ,"$6,704,193 ","$4,971,961,659 "
18,UNUS SED LEO,LEO,"Jun 18, 2022",$5.04 ,$5.06 ,$4.33 ,$5.03 ,"$9,536,567 ","$4,802,108,581 "
19,UNUS SED LEO,LEO,"Jun 17, 2022",$4.99 ,$5.06 ,$4.98 ,$5.04 ,"$5,833,646 ","$4,803,737,212 "
20,UNUS SED LEO,LEO,"Jun 16, 2022",$4.98 ,$5.06 ,$4.97 ,$4.99 ,"$5,699,706 ","$4,764,015,598 "
21,UNUS SED LEO,LEO,"Jun 15, 2022",$5.37 ,$5.39 ,$4.96 ,$5.00 ,"$8,729,720 ","$4,766,436,032 "
22,UNUS SED LEO,LEO,"Jun 14, 2022",$5.29 ,$5.41 ,$5.18 ,$5.37 ,"$7,137,211 ","$5,121,285,030 "
23,UNUS SED LEO,LEO,"Jun 13, 2022",$5.50 ,$5.52 ,$5.06 ,$5.29 ,"$8,638,749 ","$5,045,235,686 "
24,UNUS SED LEO,LEO,"Jun 12, 2022",$5.50 ,$5.53 ,$5.46 ,$5.50 ,"$6,470,782 ","$5,248,041,139 "
25,UNUS SED LEO,LEO,"Jun 11, 2022",$5.49 ,$5.57 ,$5.47 ,$5.50 ,"$6,764,784 ","$5,246,265,672 "
26,UNUS SED LEO,LEO,"Jun 10, 2022",$5.42 ,$5.51 ,$5.42 ,$5.50 ,"$6,821,387 ","$5,242,591,213 "
27,UNUS SED LEO,LEO,"Jun 09, 2022",$5.35 ,$5.43 ,$5.34 ,$5.42 ,"$6,055,917 ","$5,171,656,475 "
28,UNUS SED LEO,LEO,"Jun 08, 2022",$5.30 ,$5.36 ,$5.26 ,$5.35 ,"$6,346,466 ","$5,099,891,448 "
29,UNUS SED LEO,LEO,"Jun 07, 2022",$5.11 ,$5.31 ,$5.10 ,$5.30 ,"$6,577,978 ","$5,051,705,073 "
30,UNUS SED LEO,LEO,"Jun 06, 2022",$5.08 ,$5.34 ,$4.99 ,$5.11 ,"$6,387,568 ","$4,873,115,583 "
31,UNUS SED LEO,LEO,"Jun 05, 2022",$4.96 ,$5.08 ,$4.96 ,$5.07 ,"$5,552,952 ","$4,837,055,957 "
32,UNUS SED LEO,LEO,"Jun 04, 2022",$4.87 ,$4.99 ,$4.86 ,$4.96 ,"$5,835,386 ","$4,735,138,142 "
33,UNUS SED LEO,LEO,"Jun 03, 2022",$4.92 ,$4.93 ,$4.86 ,$4.87 ,"$5,885,504 ","$4,644,437,983 "
34,UNUS SED LEO,LEO,"Jun 02, 2022",$4.87 ,$4.93 ,$4.86 ,$4.92 ,"$5,869,937 ","$4,693,382,081 "
35,UNUS SED LEO,LEO,"Jun 01, 2022",$5.31 ,$5.38 ,$4.87 ,$4.87 ,"$7,211,046 ","$4,648,114,069 "
36,UNUS SED LEO,LEO,"May 31, 2022",$5.22 ,$5.31 ,$5.21 ,$5.31 ,"$6,438,594 ","$5,062,376,465 "
37,UNUS SED LEO,LEO,"May 30, 2022",$5.08 ,$5.23 ,$5.08 ,$5.22 ,"$6,773,500 ","$4,977,011,670 "
38,UNUS SED LEO,LEO,"May 29, 2022",$5.05 ,$5.09 ,$5.04 ,$5.08 ,"$6,139,829 ","$4,850,364,298 "
39,UNUS SED LEO,LEO,"May 28, 2022",$5.02 ,$5.06 ,$4.87 ,$5.05 ,"$6,216,801 ","$4,820,978,847 "
40,UNUS SED LEO,LEO,"May 27, 2022",$4.89 ,$4.92 ,$4.83 ,$4.88 ,"$5,940,106 ","$4,653,561,770 "
41,UNUS SED LEO,LEO,"May 26, 2022",$4.89 ,$4.95 ,$4.87 ,$4.89 ,"$5,986,373 ","$4,667,171,308 "
42,UNUS SED LEO,LEO,"May 25, 2022",$4.88 ,$5.07 ,$4.88 ,$4.89 ,"$6,191,137 ","$4,666,658,215 "
43,UNUS SED LEO,LEO,"May 24, 2022",$4.90 ,$5.00 ,$4.85 ,$4.89 ,"$2,514,305 ","$4,661,090,897 "
44,UNUS SED LEO,LEO,"May 23, 2022",$4.89 ,$5.11 ,$4.89 ,$4.90 ,"$6,447,347 ","$4,675,482,712 "
45,UNUS SED LEO,LEO,"May 22, 2022",$4.92 ,$4.92 ,$4.89 ,$4.89 ,"$6,012,573 ","$4,668,588,852 "
46,UNUS SED LEO,LEO,"May 21, 2022",$5.00 ,$5.00 ,$4.91 ,$4.92 ,"$6,619,120 ","$4,693,857,089 "
47,UNUS SED LEO,LEO,"May 20, 2022",$4.98 ,$5.21 ,$4.97 ,$4.99 ,"$6,410,183 ","$4,764,023,315 "
