Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,Shiba Inu,SHIB,"Jul 05, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$462,032,913 ","$5,671,962,916 "
2,Shiba Inu,SHIB,"Jul 04, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$289,253,382 ","$5,758,700,105 "
3,Shiba Inu,SHIB,"Jul 03, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$204,381,631 ","$5,512,757,229 "
4,Shiba Inu,SHIB,"Jul 02, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$220,131,113 ","$5,530,692,240 "
5,Shiba Inu,SHIB,"Jul 01, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$423,518,491 ","$5,489,890,381 "
6,Shiba Inu,SHIB,"Jun 30, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$604,730,096 ","$5,664,369,259 "
7,Shiba Inu,SHIB,"Jun 29, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$582,310,241 ","$5,590,158,809 "
8,Shiba Inu,SHIB,"Jun 28, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$472,570,140 ","$5,475,796,783 "
9,Shiba Inu,SHIB,"Jun 27, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$524,506,475 ","$6,072,580,838 "
10,Shiba Inu,SHIB,"Jun 26, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$647,639,113 ","$6,033,779,547 "
11,Shiba Inu,SHIB,"Jun 25, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$926,458,281 ","$6,475,986,264 "
12,Shiba Inu,SHIB,"Jun 24, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$804,722,625 ","$5,969,315,536 "
13,Shiba Inu,SHIB,"Jun 23, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$679,449,485 ","$5,662,072,284 "
14,Shiba Inu,SHIB,"Jun 22, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,212,245,866 ","$5,302,788,334 "
15,Shiba Inu,SHIB,"Jun 21, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,578,164,594 ","$5,814,780,628 "
16,Shiba Inu,SHIB,"Jun 20, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$247,862,112 ","$4,465,645,568 "
17,Shiba Inu,SHIB,"Jun 19, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$310,911,208 ","$4,505,347,333 "
18,Shiba Inu,SHIB,"Jun 18, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$304,500,488 ","$4,239,457,811 "
19,Shiba Inu,SHIB,"Jun 17, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$210,833,181 ","$4,488,398,127 "
20,Shiba Inu,SHIB,"Jun 16, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$343,758,214 ","$4,370,216,391 "
21,Shiba Inu,SHIB,"Jun 15, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$514,356,384 ","$4,836,295,760 "
22,Shiba Inu,SHIB,"Jun 14, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$478,277,756 ","$4,509,653,456 "
23,Shiba Inu,SHIB,"Jun 13, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$665,964,700 ","$4,406,850,516 "
24,Shiba Inu,SHIB,"Jun 12, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$468,217,434 ","$4,746,801,186 "
25,Shiba Inu,SHIB,"Jun 11, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$347,009,991 ","$5,114,782,050 "
26,Shiba Inu,SHIB,"Jun 10, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$241,095,707 ","$5,562,614,821 "
27,Shiba Inu,SHIB,"Jun 09, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$384,640,508 ","$5,802,110,690 "
28,Shiba Inu,SHIB,"Jun 08, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$228,040,184 ","$5,819,595,752 "
29,Shiba Inu,SHIB,"Jun 07, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$344,739,034 ","$5,902,097,528 "
30,Shiba Inu,SHIB,"Jun 06, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$299,560,801 ","$6,070,241,900 "
31,Shiba Inu,SHIB,"Jun 05, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$175,363,152 ","$5,936,850,199 "
32,Shiba Inu,SHIB,"Jun 04, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$176,261,542 ","$5,971,515,483 "
33,Shiba Inu,SHIB,"Jun 03, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$255,259,560 ","$5,938,509,900 "
34,Shiba Inu,SHIB,"Jun 02, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$295,981,470 ","$6,161,614,864 "
35,Shiba Inu,SHIB,"Jun 01, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$428,977,853 ","$5,991,983,818 "
36,Shiba Inu,SHIB,"May 31, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$475,903,019 ","$6,439,763,510 "
37,Shiba Inu,SHIB,"May 30, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$635,871,505 ","$6,684,586,200 "
38,Shiba Inu,SHIB,"May 29, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$419,949,041 ","$6,314,902,096 "
39,Shiba Inu,SHIB,"May 28, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$231,462,555 ","$5,921,450,604 "
40,Shiba Inu,SHIB,"May 27, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$405,412,906 ","$5,724,162,948 "
41,Shiba Inu,SHIB,"May 26, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$470,812,067 ","$5,837,381,542 "
42,Shiba Inu,SHIB,"May 25, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$270,410,751 ","$6,371,484,591 "
43,Shiba Inu,SHIB,"May 24, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$338,191,313 ","$6,447,316,426 "
44,Shiba Inu,SHIB,"May 23, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$684,387,210 ","$6,410,730,662 "
45,Shiba Inu,SHIB,"May 22, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$346,543,992 ","$6,552,300,442 "
46,Shiba Inu,SHIB,"May 21, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$269,090,360 ","$6,451,834,412 "
47,Shiba Inu,SHIB,"May 20, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$318,906,896 ","$6,393,672,083 "
48,Shiba Inu,SHIB,"May 19, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$428,502,212 ","$6,500,526,050 "
49,Shiba Inu,SHIB,"May 18, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$447,213,809 ","$6,330,801,981 "
50,Shiba Inu,SHIB,"May 17, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$502,026,876 ","$6,893,178,816 "
51,Shiba Inu,SHIB,"May 16, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$470,716,635 ","$6,584,408,930 "
52,Shiba Inu,SHIB,"May 15, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$476,871,904 ","$7,154,572,502 "
53,Shiba Inu,SHIB,"May 14, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$821,428,365 ","$6,902,805,147 "
54,Shiba Inu,SHIB,"May 13, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,436,004,010 ","$7,038,424,118 "
55,Shiba Inu,SHIB,"May 12, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,412,033,424 ","$5,963,006,321 "
56,Shiba Inu,SHIB,"May 11, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,583,801,209 ","$6,576,096,266 "
57,Shiba Inu,SHIB,"May 10, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,923,105,329 ","$8,902,175,780 "
58,Shiba Inu,SHIB,"May 09, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,391,408,513 ","$7,899,007,393 "
59,Shiba Inu,SHIB,"May 08, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$537,073,562 ","$10,101,043,009 "
60,Shiba Inu,SHIB,"May 07, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$423,936,667 ","$10,590,483,047 "
61,Shiba Inu,SHIB,"May 06, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$585,924,268 ","$10,984,913,053 "
62,Shiba Inu,SHIB,"May 05, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$713,051,913 ","$11,140,278,927 "
63,Shiba Inu,SHIB,"May 04, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$636,180,875 ","$11,974,855,697 "
64,Shiba Inu,SHIB,"May 03, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$403,376,379 ","$11,160,146,515 "
65,Shiba Inu,SHIB,"May 02, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$592,820,970 ","$11,353,245,688 "
66,Shiba Inu,SHIB,"May 01, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$848,056,380 ","$11,848,512,412 "
67,Shiba Inu,SHIB,"Apr 30, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$818,405,640 ","$11,080,308,923 "
68,Shiba Inu,SHIB,"Apr 29, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$677,823,796 ","$12,181,423,666 "
69,Shiba Inu,SHIB,"Apr 28, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$472,878,759 ","$12,599,034,219 "
70,Shiba Inu,SHIB,"Apr 27, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$650,386,644 ","$12,863,885,039 "
71,Shiba Inu,SHIB,"Apr 26, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$729,940,767 ","$12,611,624,905 "
72,Shiba Inu,SHIB,"Apr 25, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,200,258,088 ","$13,389,600,683 "
73,Shiba Inu,SHIB,"Apr 24, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$328,056,265 ","$13,147,634,356 "
74,Shiba Inu,SHIB,"Apr 23, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$341,880,954 ","$13,243,180,690 "
75,Shiba Inu,SHIB,"Apr 22, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$431,642,746 ","$13,357,509,098 "
76,Shiba Inu,SHIB,"Apr 21, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$520,836,111 ","$13,367,778,448 "
77,Shiba Inu,SHIB,"Apr 20, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$628,811,523 ","$13,632,790,542 "
78,Shiba Inu,SHIB,"Apr 19, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$514,266,085 ","$13,961,287,081 "
79,Shiba Inu,SHIB,"Apr 18, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$713,137,006 ","$13,866,757,266 "
80,Shiba Inu,SHIB,"Apr 17, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$420,838,842 ","$13,569,126,237 "
81,Shiba Inu,SHIB,"Apr 16, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$338,664,091 ","$14,069,993,454 "
82,Shiba Inu,SHIB,"Apr 15, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$464,520,286 ","$14,205,908,933 "
83,Shiba Inu,SHIB,"Apr 14, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$1,152,162,515 ","$14,142,086,265 "
84,Shiba Inu,SHIB,"Apr 13, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$2,032,682,825 ","$14,749,599,176 "
85,Shiba Inu,SHIB,"Apr 12, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$3,927,623,558 ","$14,811,676,697 "
86,Shiba Inu,SHIB,"Apr 11, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$739,648,605 ","$12,155,480,727 "
87,Shiba Inu,SHIB,"Apr 10, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$683,926,475 ","$13,481,316,383 "
88,Shiba Inu,SHIB,"Apr 09, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$456,283,801 ","$13,513,176,589 "
89,Shiba Inu,SHIB,"Apr 08, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$624,386,355 ","$13,054,802,228 "
90,Shiba Inu,SHIB,"Apr 07, 2022",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$687,645,596 ","$13,620,441,528 "
