Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,Solana,SOL,"Jul 05, 2022",$36.76 ,$36.87 ,$33.27 ,$35.40 ,"$1,569,156,882 ","$12,145,804,297 "
2,Solana,SOL,"Jul 04, 2022",$33.39 ,$36.81 ,$32.52 ,$36.79 ,"$1,091,202,628 ","$12,633,208,224 "
3,Solana,SOL,"Jul 03, 2022",$33.36 ,$33.58 ,$32.22 ,$33.39 ,"$605,659,825 ","$11,465,283,749 "
4,Solana,SOL,"Jul 02, 2022",$32.81 ,$33.93 ,$31.96 ,$33.36 ,"$765,552,187 ","$11,456,182,206 "
5,Solana,SOL,"Jul 01, 2022",$33.65 ,$35.23 ,$31.93 ,$32.80 ,"$1,427,407,655 ","$11,260,787,476 "
6,Solana,SOL,"Jun 30, 2022",$33.91 ,$34.05 ,$31.06 ,$33.59 ,"$1,321,861,663 ","$11,517,442,145 "
7,Solana,SOL,"Jun 29, 2022",$35.33 ,$35.97 ,$33.25 ,$33.87 ,"$1,366,803,516 ","$11,615,355,559 "
8,Solana,SOL,"Jun 28, 2022",$38.45 ,$39.71 ,$35.23 ,$35.33 ,"$1,361,946,847 ","$12,108,802,089 "
9,Solana,SOL,"Jun 27, 2022",$39.41 ,$41.08 ,$38.17 ,$38.45 ,"$1,253,389,517 ","$13,179,917,589 "
10,Solana,SOL,"Jun 26, 2022",$42.30 ,$42.34 ,$39.38 ,$39.41 ,"$1,138,724,690 ","$13,507,861,443 "
11,Solana,SOL,"Jun 25, 2022",$42.20 ,$42.49 ,$39.88 ,$42.33 ,"$1,271,293,523 ","$14,504,821,341 "
12,Solana,SOL,"Jun 24, 2022",$38.20 ,$42.73 ,$37.85 ,$42.21 ,"$1,765,927,064 ","$14,463,467,673 "
13,Solana,SOL,"Jun 23, 2022",$34.12 ,$38.35 ,$34.08 ,$38.18 ,"$1,666,479,184 ","$13,080,320,647 "
14,Solana,SOL,"Jun 22, 2022",$36.18 ,$36.70 ,$33.80 ,$34.12 ,"$1,533,123,071 ","$11,686,937,663 "
15,Solana,SOL,"Jun 21, 2022",$35.40 ,$38.80 ,$34.40 ,$36.12 ,"$1,790,090,431 ","$12,371,813,461 "
16,Solana,SOL,"Jun 20, 2022",$34.24 ,$36.76 ,$31.89 ,$35.42 ,"$1,958,378,683 ","$12,130,694,928 "
