Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,Tether,USDT,"Jul 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$46,794,873,591 ","$65,983,553,009 "
2,Tether,USDT,"Jul 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$37,816,157,114 ","$66,022,632,508 "
3,Tether,USDT,"Jul 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$27,890,770,459 ","$66,169,266,578 "
4,Tether,USDT,"Jul 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$31,666,712,588 ","$66,163,322,797 "
5,Tether,USDT,"Jul 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$49,683,415,220 ","$66,157,189,642 "
6,Tether,USDT,"Jun 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$45,578,518,327 ","$66,336,678,356 "
7,Tether,USDT,"Jun 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$44,380,636,377 ","$66,750,375,721 "
8,Tether,USDT,"Jun 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$40,773,930,242 ","$66,756,834,296 "
9,Tether,USDT,"Jun 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$39,296,953,700 ","$66,806,562,259 "
10,Tether,USDT,"Jun 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$37,228,683,270 ","$66,827,166,314 "
11,Tether,USDT,"Jun 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$36,390,241,725 ","$66,837,248,865 "
12,Tether,USDT,"Jun 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$46,919,267,632 ","$66,932,224,078 "
13,Tether,USDT,"Jun 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$43,198,538,082 ","$66,931,473,859 "
14,Tether,USDT,"Jun 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$46,130,025,676 ","$66,920,425,463 "
15,Tether,USDT,"Jun 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$50,165,859,626 ","$67,433,922,183 "
16,Tether,USDT,"Jun 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$52,157,987,688 ","$67,853,470,374 "
17,Tether,USDT,"Jun 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$55,603,476,684 ","$68,102,975,882 "
18,Tether,USDT,"Jun 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$61,973,128,141 ","$68,140,021,287 "
19,Tether,USDT,"Jun 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$43,836,219,287 ","$69,157,599,590 "
20,Tether,USDT,"Jun 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$52,400,892,767 ","$69,963,896,406 "
21,Tether,USDT,"Jun 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$89,017,006,423 ","$70,795,502,508 "
22,Tether,USDT,"Jun 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$81,024,425,505 ","$71,524,221,503 "
23,Tether,USDT,"Jun 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$107,410,569,162 ","$72,192,315,410 "
24,Tether,USDT,"Jun 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$59,051,274,983 ","$72,428,255,699 "
25,Tether,USDT,"Jun 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$48,736,816,876 ","$72,424,278,520 "
26,Tether,USDT,"Jun 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$49,685,289,881 ","$72,438,004,111 "
27,Tether,USDT,"Jun 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$42,359,067,750 ","$72,380,852,348 "
28,Tether,USDT,"Jun 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$52,176,620,958 ","$72,367,104,629 "
29,Tether,USDT,"Jun 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$67,008,901,675 ","$72,378,077,915 "
30,Tether,USDT,"Jun 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$51,540,243,030 ","$72,493,493,261 "
31,Tether,USDT,"Jun 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$30,872,185,296 ","$72,492,412,161 "
32,Tether,USDT,"Jun 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$30,834,183,068 ","$72,493,599,862 "
33,Tether,USDT,"Jun 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$43,789,145,735 ","$72,478,209,425 "
34,Tether,USDT,"Jun 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$50,520,845,556 ","$72,488,874,871 "
35,Tether,USDT,"Jun 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$68,866,735,590 ","$72,484,737,695 "
36,Tether,USDT,"May 31, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$62,841,794,272 ","$72,494,046,131 "
37,Tether,USDT,"May 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$65,155,466,235 ","$72,491,971,143 "
38,Tether,USDT,"May 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$34,572,061,153 ","$72,477,658,383 "
39,Tether,USDT,"May 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$37,159,842,905 ","$72,464,869,930 "
40,Tether,USDT,"May 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$67,961,870,830 ","$72,454,786,684 "
41,Tether,USDT,"May 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$67,771,285,444 ","$73,194,993,574 "
42,Tether,USDT,"May 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$50,311,844,127 ","$73,200,049,460 "
43,Tether,USDT,"May 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$51,053,417,289 ","$73,209,654,828 "
44,Tether,USDT,"May 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$58,585,612,765 ","$73,208,261,018 "
45,Tether,USDT,"May 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$40,965,864,100 ","$73,206,667,558 "
46,Tether,USDT,"May 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$34,924,240,134 ","$73,186,680,227 "
47,Tether,USDT,"May 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$54,960,961,209 ","$74,113,219,856 "
48,Tether,USDT,"May 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$59,651,836,770 ","$74,136,836,037 "
49,Tether,USDT,"May 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$56,067,250,693 ","$74,120,116,281 "
50,Tether,USDT,"May 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$55,745,978,864 ","$75,669,482,318 "
51,Tether,USDT,"May 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$62,504,490,441 ","$75,659,604,370 "
52,Tether,USDT,"May 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$53,979,914,930 ","$75,681,576,736 "
53,Tether,USDT,"May 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$60,781,876,668 ","$76,614,556,565 "
54,Tether,USDT,"May 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$87,009,885,196 ","$78,628,680,641 "
55,Tether,USDT,"May 12, 2022",$1.00 ,$1.00 ,$0.95 ,$1.00 ,"$141,052,751,792 ","$80,975,547,638 "
56,Tether,USDT,"May 11, 2022",$1.00 ,$1 ,$0.99 ,$1.00 ,"$159,700,404,396 ","$82,804,472,065 "
57,Tether,USDT,"May 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$128,692,083,965 ","$83,149,842,395 "
58,Tether,USDT,"May 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$120,710,294,040 ","$83,209,783,934 "
59,Tether,USDT,"May 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$77,900,163,502 ","$83,205,227,594 "
60,Tether,USDT,"May 07, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$57,202,594,793 ","$83,230,797,431 "
61,Tether,USDT,"May 06, 2022",$1 ,$1.00 ,$1.00 ,$1 ,"$81,327,879,764 ","$83,235,897,878 "
62,Tether,USDT,"May 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$85,679,638,685 ","$83,151,407,127 "
63,Tether,USDT,"May 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$72,222,517,203 ","$83,153,531,243 "
