Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,XRP,XRP,"Jul 05, 2022",$0.33 ,$0.33 ,$0.31 ,$0.33 ,"$1,130,550,266 ","$15,731,938,098 "
2,XRP,XRP,"Jul 04, 2022",$0.32 ,$0.33 ,$0.32 ,$0.33 ,"$1,018,446,189 ","$15,894,714,861 "
3,XRP,XRP,"Jul 03, 2022",$0.32 ,$0.33 ,$0.31 ,$0.32 ,"$728,566,418 ","$15,552,125,746 "
4,XRP,XRP,"Jul 02, 2022",$0.31 ,$0.32 ,$0.31 ,$0.32 ,"$608,601,610 ","$15,256,090,645 "
5,XRP,XRP,"Jul 01, 2022",$0.33 ,$0.33 ,$0.31 ,$0.31 ,"$1,249,145,615 ","$15,164,098,194 "
6,XRP,XRP,"Jun 30, 2022",$0.33 ,$0.33 ,$0.31 ,$0.33 ,"$1,456,445,785 ","$16,023,213,662 "
7,XRP,XRP,"Jun 29, 2022",$0.34 ,$0.34 ,$0.32 ,$0.33 ,"$1,094,664,825 ","$15,903,810,210 "
8,XRP,XRP,"Jun 28, 2022",$0.35 ,$0.36 ,$0.34 ,$0.34 ,"$1,038,924,972 ","$16,307,549,066 "
9,XRP,XRP,"Jun 27, 2022",$0.36 ,$0.37 ,$0.35 ,$0.35 ,"$989,571,906 ","$17,076,467,746 "
10,XRP,XRP,"Jun 26, 2022",$0.37 ,$0.37 ,$0.36 ,$0.36 ,"$789,514,304 ","$17,348,594,105 "
11,XRP,XRP,"Jun 25, 2022",$0.37 ,$0.37 ,$0.36 ,$0.37 ,"$912,142,249 ","$17,768,795,974 "
12,XRP,XRP,"Jun 24, 2022",$0.34 ,$0.38 ,$0.34 ,$0.37 ,"$2,253,100,828 ","$17,770,272,992 "
13,XRP,XRP,"Jun 23, 2022",$0.32 ,$0.34 ,$0.32 ,$0.34 ,"$927,324,605 ","$16,220,625,762 "
14,XRP,XRP,"Jun 22, 2022",$0.33 ,$0.33 ,$0.32 ,$0.32 ,"$1,064,144,662 ","$15,594,753,283 "
15,XRP,XRP,"Jun 21, 2022",$0.32 ,$0.34 ,$0.32 ,$0.33 ,"$1,247,582,002 ","$15,886,801,532 "
16,XRP,XRP,"Jun 20, 2022",$0.33 ,$0.33 ,$0.31 ,$0.32 ,"$1,187,888,833 ","$15,631,560,627 "
17,XRP,XRP,"Jun 19, 2022",$0.31 ,$0.33 ,$0.30 ,$0.33 ,"$1,159,418,572 ","$15,762,422,675 "
18,XRP,XRP,"Jun 18, 2022",$0.32 ,$0.33 ,$0.29 ,$0.31 ,"$1,403,189,628 ","$14,894,007,804 "
19,XRP,XRP,"Jun 17, 2022",$0.31 ,$0.34 ,$0.31 ,$0.32 ,"$1,381,554,091 ","$15,536,563,814 "
20,XRP,XRP,"Jun 16, 2022",$0.34 ,$0.35 ,$0.31 ,$0.31 ,"$1,477,710,114 ","$15,085,737,177 "
21,XRP,XRP,"Jun 15, 2022",$0.32 ,$0.34 ,$0.30 ,$0.34 ,"$2,242,860,490 ","$16,615,670,711 "
22,XRP,XRP,"Jun 14, 2022",$0.31 ,$0.32 ,$0.30 ,$0.32 ,"$1,977,069,964 ","$15,573,376,110 "
23,XRP,XRP,"Jun 13, 2022",$0.35 ,$0.35 ,$0.30 ,$0.31 ,"$2,558,939,154 ","$15,025,141,139 "
24,XRP,XRP,"Jun 12, 2022",$0.36 ,$0.36 ,$0.34 ,$0.35 ,"$1,370,072,145 ","$16,702,074,997 "
25,XRP,XRP,"Jun 11, 2022",$0.38 ,$0.39 ,$0.36 ,$0.36 ,"$1,111,401,064 ","$17,356,403,264 "
26,XRP,XRP,"Jun 10, 2022",$0.40 ,$0.41 ,$0.38 ,$0.38 ,"$1,424,539,679 ","$18,454,292,632 "
27,XRP,XRP,"Jun 09, 2022",$0.40 ,$0.40 ,$0.40 ,$0.40 ,"$911,815,336 ","$19,352,904,030 "
28,XRP,XRP,"Jun 08, 2022",$0.41 ,$0.41 ,$0.40 ,$0.40 ,"$1,183,206,226 ","$19,368,563,789 "
29,XRP,XRP,"Jun 07, 2022",$0.40 ,$0.42 ,$0.39 ,$0.41 ,"$1,666,703,798 ","$19,709,597,576 "
30,XRP,XRP,"Jun 06, 2022",$0.40 ,$0.41 ,$0.39 ,$0.40 ,"$1,221,803,580 ","$19,482,794,691 "
31,XRP,XRP,"Jun 05, 2022",$0.39 ,$0.40 ,$0.39 ,$0.40 ,"$726,398,938 ","$19,113,884,341 "
32,XRP,XRP,"Jun 04, 2022",$0.39 ,$0.39 ,$0.39 ,$0.39 ,"$696,569,397 ","$18,965,420,646 "
33,XRP,XRP,"Jun 03, 2022",$0.41 ,$0.41 ,$0.39 ,$0.39 ,"$1,284,592,602 ","$18,890,841,706 "
34,XRP,XRP,"Jun 02, 2022",$0.40 ,$0.41 ,$0.39 ,$0.41 ,"$1,298,797,541 ","$19,593,540,143 "
35,XRP,XRP,"Jun 01, 2022",$0.42 ,$0.43 ,$0.39 ,$0.40 ,"$1,569,696,040 ","$19,244,684,532 "
36,XRP,XRP,"May 31, 2022",$0.42 ,$0.43 ,$0.41 ,$0.42 ,"$1,738,462,198 ","$20,394,341,358 "
37,XRP,XRP,"May 30, 2022",$0.39 ,$0.42 ,$0.39 ,$0.42 ,"$1,404,448,305 ","$20,215,892,251 "
38,XRP,XRP,"May 29, 2022",$0.39 ,$0.39 ,$0.38 ,$0.39 ,"$752,879,867 ","$18,806,261,248 "
39,XRP,XRP,"May 28, 2022",$0.39 ,$0.39 ,$0.38 ,$0.39 ,"$865,258,883 ","$18,676,059,698 "
40,XRP,XRP,"May 27, 2022",$0.39 ,$0.40 ,$0.38 ,$0.38 ,"$1,927,217,638 ","$18,456,779,481 "
41,XRP,XRP,"May 26, 2022",$0.41 ,$0.41 ,$0.38 ,$0.39 ,"$2,091,610,974 ","$19,007,056,733 "
42,XRP,XRP,"May 25, 2022",$0.41 ,$0.41 ,$0.40 ,$0.41 ,"$1,587,278,448 ","$19,616,910,103 "
43,XRP,XRP,"May 24, 2022",$0.40 ,$0.41 ,$0.39 ,$0.41 ,"$1,394,251,522 ","$19,758,431,074 "
44,XRP,XRP,"May 23, 2022",$0.42 ,$0.43 ,$0.40 ,$0.40 ,"$1,399,019,792 ","$19,563,044,262 "
45,XRP,XRP,"May 22, 2022",$0.41 ,$0.42 ,$0.41 ,$0.42 ,"$896,133,087 ","$20,417,096,593 "
46,XRP,XRP,"May 21, 2022",$0.41 ,$0.42 ,$0.41 ,$0.41 ,"$875,738,315 ","$20,046,598,080 "
47,XRP,XRP,"May 20, 2022",$0.42 ,$0.44 ,$0.40 ,$0.41 ,"$1,721,877,559 ","$19,875,640,538 "
48,XRP,XRP,"May 19, 2022",$0.41 ,$0.42 ,$0.40 ,$0.42 ,"$1,557,252,121 ","$20,302,962,987 "
49,XRP,XRP,"May 18, 2022",$0.44 ,$0.44 ,$0.41 ,$0.41 ,"$1,599,734,223 ","$19,635,318,935 "
50,XRP,XRP,"May 17, 2022",$0.42 ,$0.44 ,$0.42 ,$0.44 ,"$1,598,581,919 ","$21,156,072,907 "
51,XRP,XRP,"May 16, 2022",$0.45 ,$0.45 ,$0.41 ,$0.42 ,"$1,839,092,427 ","$20,424,915,692 "
52,XRP,XRP,"May 15, 2022",$0.43 ,$0.45 ,$0.42 ,$0.45 ,"$1,427,697,924 ","$21,627,310,018 "
53,XRP,XRP,"May 14, 2022",$0.42 ,$0.44 ,$0.40 ,$0.43 ,"$2,021,953,522 ","$20,679,924,723 "
54,XRP,XRP,"May 13, 2022",$0.39 ,$0.46 ,$0.38 ,$0.42 ,"$2,949,331,810 ","$20,469,313,382 "
55,XRP,XRP,"May 12, 2022",$0.41 ,$0.43 ,$0.35 ,$0.39 ,"$4,641,055,357 ","$18,622,029,266 "
56,XRP,XRP,"May 11, 2022",$0.51 ,$0.52 ,$0.38 ,$0.41 ,"$5,290,247,987 ","$19,983,884,939 "
57,XRP,XRP,"May 10, 2022",$0.49 ,$0.54 ,$0.48 ,$0.51 ,"$3,455,777,036 ","$24,830,250,477 "
58,XRP,XRP,"May 09, 2022",$0.57 ,$0.58 ,$0.48 ,$0.49 ,"$3,297,478,002 ","$23,830,261,964 "
59,XRP,XRP,"May 08, 2022",$0.58 ,$0.58 ,$0.56 ,$0.57 ,"$1,505,054,300 ","$27,387,673,912 "
60,XRP,XRP,"May 07, 2022",$0.60 ,$0.60 ,$0.57 ,$0.58 ,"$1,250,412,025 ","$28,152,438,113 "
61,XRP,XRP,"May 06, 2022",$0.60 ,$0.61 ,$0.59 ,$0.60 ,"$2,003,273,389 ","$29,130,104,990 "
62,XRP,XRP,"May 05, 2022",$0.65 ,$0.66 ,$0.58 ,$0.60 ,"$2,183,469,244 ","$28,951,984,894 "
63,XRP,XRP,"May 04, 2022",$0.60 ,$0.65 ,$0.60 ,$0.65 ,"$1,959,359,438 ","$31,252,541,255 "
64,XRP,XRP,"May 03, 2022",$0.61 ,$0.63 ,$0.60 ,$0.60 ,"$1,460,418,466 ","$29,130,203,226 "
65,XRP,XRP,"May 02, 2022",$0.61 ,$0.63 ,$0.60 ,$0.61 ,"$1,687,184,077 ","$29,549,544,283 "
66,XRP,XRP,"May 01, 2022",$0.59 ,$0.61 ,$0.58 ,$0.61 ,"$1,657,999,135 ","$29,240,494,806 "
67,XRP,XRP,"Apr 30, 2022",$0.61 ,$0.63 ,$0.58 ,$0.59 ,"$1,649,221,930 ","$28,242,161,687 "
68,XRP,XRP,"Apr 29, 2022",$0.64 ,$0.65 ,$0.60 ,$0.61 ,"$1,962,197,662 ","$29,411,859,157 "
69,XRP,XRP,"Apr 28, 2022",$0.65 ,$0.66 ,$0.64 ,$0.64 ,"$1,546,067,106 ","$30,997,252,970 "
70,XRP,XRP,"Apr 27, 2022",$0.64 ,$0.66 ,$0.64 ,$0.65 ,"$1,722,422,062 ","$31,379,920,579 "
71,XRP,XRP,"Apr 26, 2022",$0.69 ,$0.70 ,$0.63 ,$0.64 ,"$2,160,649,427 ","$30,869,089,729 "
72,XRP,XRP,"Apr 25, 2022",$0.70 ,$0.70 ,$0.65 ,$0.69 ,"$2,377,291,271 ","$33,405,523,904 "
73,XRP,XRP,"Apr 24, 2022",$0.71 ,$0.71 ,$0.70 ,$0.70 ,"$1,108,217,932 ","$33,613,015,003 "
